no;urq_;urq
1;420.1576508;255.8394246
2;541.4117067;310.9586671
3;901.1574567;485.6800142
4;639.0802287;402.9973555
5;750.8756058;495.5607749
6;945.798931;633.7978151
7;829.3978868;630.7565677
8;979.1648358;700.4409043
9;1309.87894;830.9586215
10;1492.398744;815.3602173
11;502.8389802;338.0013873
12;616.7168472;412.3613384
13;790.9225113;520.000618
14;555.8786416;452.4014729
15;713.4411837;512.7200578
16;838.7561327;658.8395303
17;535.0766459;392.5994967
18;596.4408054;443.5586338
19;924.5618966;640.1163777
20;487.7583018;333.839387
21;692.6397342;466.9583185
22;997.8769778;543.3969043
23;506.9994912;317.7198438
24;654.1587114;424.3208964
25;933.9192702;518.9616561
26;433.6813293;338.0013873
27;587.5962133;419.6411746
28;896.4746356;476.3200489
29;454.4782238;386.3601633
30;584.9989194;423.2783498
31;800.7990166;503.3571712
32;502.4368699;354.6388685
33;713.5196665;497.3181688
34;906.0006287;588.519464
35;880.5969238;654.5971446
36;796.8289194;550.7274276
37;854.8790526;528.3769767
38;1167.371594;640.4813481
39;523.8000356;401.3203555
40;670.7791854;435.9990219
41;377.0583689;276.5606096
42;851.5430017;588.3488181
43;1121.093694;664.1978022
44;625.5179334;444.8601664
45;805.5376962;462.8995149
46;558.5812015;377.7792385
47;884.4004873;553.1504356
48;1257.498866;810.8961548
49;2051.178941;1067.954056
50;1466.332992;1049.878792
51;730.0988968;522.7012097
52;800.7990166;572.0806626
53;1245.696388;907.3969446
54;1201.000214;811.5775937
55;634.4002091;427.7975202
56;956.2314631;649.9984641
57;1148.601047;860.6001546
58;1768.82365;1143.421086
59;2822.533035;2032.67919
60;922.3548321;590.618327
61;2293.191971;1570.391138
62;627.472597;483.4800247
63;889.9808984;600.4803991
64;1162.199954;696.2021057
65;1197.079357;774.7961791
66;530.7971855;390.5984304
67;1142.152593;612.5619009
68;1088.003887;708.7621516
69;484.6611563;296.9191858
70;1536.020101;1071.462696
71;678.8973921;496.59758
72;671.8801659;503.3974414
73;690.4682565;357.6411109
74;860.6948258;430.3375927
75;873.3094846;624.6990414
76;894.4598352;582.5412509
77;1148.646992;580.2215422
78;926.876193;543.8807428
79;839.0413583;588.6371796
80;829.4974206;627.9998955
81;1264.00433;712.1011743
82;1937.977146;968.3949401
83;698.8317414;482.5815876
84;920.4199194;593.1693856
85;1897.57114;1033.565754
86;891.6823863;693.6794734
87;889.6783563;693.6794734
88;1221.481811;761.2790658
89;544.5991394;361.3980563
90;1031.449115;628.4522182
91;1462.949672;771.4485644
92;830.4352824;757.1186664
93;975.0414667;821.5969941
94;1337.99834;1022.32017
95;867.6427052;679.4407274
96;725.7459337;538.7491157
97;989.005606;679.9980972
98;1525.000474;977.003271
99;672.1960238;561.2014882
100;923.3976822;728.3997466
101;472.3215483;372.3186226
102;590.7600924;361.5209526
103;940.9217689;517.9195908
104;643.3571415;459.817651
105;2551.661514;863.9198515
106;1795.322589;831.4407173
107;1165.77339;534.7610438
108;815.6211743;392.050242
109;1264.206586;934.9751954
110;1095.405617;813.3080963
111;447.4478524;263.7099962
112;1178.97418;769.083849
113;975.8022957;630.5862864
114;1017.8522;645.9874007
115;423.879832;319.5583863
116;558.7767391;348.4518301
117;943.2487183;614.5068032
118;1348.300245;662.009562
119;2340.617354;1504.370775
120;587.1791681;406.2180157
121;1540.974057;692.1688993
122;1115.848075;588.1370506
123;1044.684286;511.260886
124;1389.792869;700.5599893
125;2497.785954;1301.145098
126;1585.380943;879.0660174
127;1862.043836;912.8850783
128;2008.854624;1509.781172
129;697.3099476;484.0605489
130;571.2517468;399.6703171
131;598.3464895;444.1001056
132;461.0977225;248.8101112
133;977.1107472;527.8013596
134;883.9849168;500.6313491
135;718.3593993;436.8107347
136;543.8970595;374.7990441
137;1587.348035;726.3921351
138;4957.813024;1827.199964
139;969.6837622;523.4910847
140;419.9980213;334.9998218
141;561.9989604;473.2008839
142;689.5988143;581.2029457
143;1398.520261;929.7539674
144;820.8168476;591.1974167
145;875.1716163;637.5482752
146;1392.44991;674.9509354
147;1256.317372;776.7588952
148;1362.85903;959.5169685
149;1999.25522;1250.964334
150;1209.472992;737.8200794
151;1125.035647;810.6772424
152;1827.400967;983.0008649
153;1014.153953;708.8968292
154;880.3944098;633.1200142
155;2432.390992;1424.804656
156;1177.854686;830.9586215
157;1222.593866;925.5794742
158;1519.581125;1162.002397
159;687.6637617;383.4579627
160;953.1192243;621.1173292
161;953.1192243;621.1173292
162;953.1192243;621.1173292
163;939.041806;548.6002312
164;1283.402457;745.2352945
165;1511.578881;837.8004955
166;1342.582128;795.3402416
167;511.7979918;418.5975679
168;689.798827;508.7974499
169;1532.307426;883.2780116
170;1056.080825;742.527569
171;387.3195256;242.3202019
172;387.3195256;242.3202019
173;410.9986788;266.0009819
174;832.755432;614.7588026
175;614.9986053;385.3183979
176;887.465813;515.619969
177;1024.817677;708.4787034
178;1006.435339;734.2356308
179;725.9999892;433.0009838
180;494.4173507;327.418772
181;748.6413273;429.0399336
182;987.6417196;619.6408277
183;788.096071;400.7989781
184;831.7983137;620.8006401
185;1139.494475;819.996441
186;507.5168945;360.8780177
187;576.1972212;395.7608046
188;696.5990541;442.0000521
189;650.8179784;404.0384311
190;949.5802074;670.7993091
191;497.1192813;297.5701513
192;570.1673989;353.4881631
193;724.7306003;383.9375849
194;408.3399344;284.8008033
195;638.6713482;431.0999648
196;1225.789003;801.3517586
197;715.3700777;448.451259
198;800.4707563;577.9110707
199;975.5973987;570.5210123
200;1613.756548;865.3205359
201;608.5018788;444.5577643
202;958.6633783;680.4198268
203;835.9426414;576.2778945
204;873.7375111;631.7981751
205;951.4432098;608.6418503
206;473.0021812;300.9999203
207;601.0030444;377.9984141
208;713.9978849;397.0014766
209;829.2983651;588.519464
210;959.7952688;681.761575
211;1212.961295;807.3602701
212;958.8743074;696.8010971
213;1129.443147;811.1962419
214;1943.041873;1305.720141
215;539.6387855;442.0000521
216;463.5990211;353.6012974
217;562.6400045;468.0007975
218;736.7583831;526.7573468
219;1415.446064;890.2390303
220;2208.789706;1318.803282
221;636.0009137;331.0005378
222;759.4010269;416.4015254
223;1078.8382;596.8405546
224;499.7510128;408.499218
225;1020.022536;775.0209025
226;1595.161079;1138.162046
227;776.5957929;485.5197662
228;1230.923525;772.7611424
229;1807.952015;993.9630173
230;415.440748;305.4389737
231;440.5174242;306.5190786
232;541.2005973;299.199328
233;581.3598917;468.0007975
234;743.0772428;522.6019059
235;1057.676711;750.3201634
